Strategy Name,N,AUM
"Multifactor 80 (ETF, QUSLGVMQ, 5YCRPETF)",8,9831505.93
"Multifactor 80 TM (ETF, QUSALVMQ, N7YMUN)",2,9736892.45
"Multifactor 50 (ETF, QUSALVMQ)",5,9664263.48
"Multifactor 50 TM (ETF, QUSALVMQ)",9,9524448.7
Multifactor 20 TM (ETF),9,9430013.02
Income 20 (ETF),20,9398651.32
"Multifactor 50 (ETF, 5YTRYETF)",3,9091127.57
MA Cash Mgmt (Fidelity),49,9066038.24
"Multifactor 70 TM (ETF, QUSALVMQ)",8,9018729.76
"Multifactor 50 TM (ETF, 5YMUNETF)",2,8895884.780000001
"Multifactor 70 TM (ETF, exCore)",14,8868987.74
"Multifactor 90 TM (ETF, QUSLGVMQ)",4,8811444.92
"Market 90 (ETF, MUSLGMKTLM)",6,8776212.86
QP Factor US Large VMQ,16,8769525.61
MA Market US Large (SMA Low Min),12,8599982.31
QP Factor Global VMQ,7,8587146.92
"Multifactor 70 (ETF, QUSALVMQ, B5YCRP)",3,8542969.73
"Multifactor 50 (ETF, QUSLGVMQ)",6,8467614.16
"Market 100 (ETF, ESG)",16,8100421.55
"Market 80 (ETF, ESG)",36,8091167.85
"Multifactor 40 (ETF, B5YCRP)",6,7933451.76
"Multifactor 40 TM (ETF, N7YMUN)",2,7733374.68
"Multifactor 60 TM (ETF, CA Muni)",8,7529699
MA Fixed Income TM (ETF),22,7520315.22
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",4,7473253.38
"Market 80 (ETF, MUSLGMKTLM, 5YCRPETF)",7,7424261.26
"Multifactor 60 (ETF, US Only)",21,7372558.9799999995
"Market 40 (ETF, ESG)",21,7258221.55
Blended - 00306,3,7201028.53
"Multifactor 20 (ETF, exCore)",12,7192238.32
"Multifactor 70 TM (ETF, QUSALVMQ, N7YMUN)",3,7154496.21
"Multifactor 70 (ETF, US Only, QUSALVMQ)",1,6997638
"Multifactor 80 TM (ETF, CA Muni)",4,6851266.62
"Multifactor 90 (ETF, US Only)",16,6780693.53
"Multifactor 30 (ETF, 5YTRYETF)",5,6644675.57
"Multifactor 70 TM (ETF, exCore, QUSLGVMQ, N7YMUN)",3,6554957.49
Blended - 00021,1,6476166.2
"Multifactor 40 (ETF, exCore)",21,6443221.19
"Multifactor 60 (ETF, exCore, QUSLGVMQ, 5YCRPETF)",4,6441172.0200000005
"Multifactor 70 (ETF, 5YCRPETF)",13,6436315.11
"MA Market Global (ETF, Low Min)",398,6334819.36
"Market 70 (ETF, MUSLGMKTLM, 5YCRPETF)",7,6286263.06
Multifactor 10 (ETF),16,6111457.15
Blended - 00079,4,5968036.62
Market 50 TM (ETF),29,5774554.18
"Multifactor 30 TM (ETF, CA Muni)",7,5721112.67
"Multifactor 90 (ETF, exCore)",27,5716317.7299999995
"Multifactor 60 TM (ETF,QUSLGVMQ,QIDMVMQ,N7YMUN)",1,5673330.9
"Multifactor 50 TM (ETF, Ex China)",3,5662596.95
Nuveen Municipal 1-7 Year,4,5634728.5600000005
Income 80 (ETF),14,5599488.92
"Multifactor 80 (ETF, QUSALVMQ, B5YCRP)",2,5513291.359999999
"Multifactor 70 TM (ETF, 5YMUNETF)",6,5469987.96
Blended - 00333,1,5469007.37
Income 50 TM (ETF),10,5223400.59
"Multifactor 20 TM (ETF, QUSLGVMQ)",1,5190986.28
Income 100 (ETF),16,5103443.06
Blended - 00022,1,5050809.65
"Income 60 (ETF, QUSLGDIV)",6,5010662.9399999995
"Multifactor 70 (ETF, US Only)",17,4945132.19
"Multifactor 40 (ETF, 5YTRYETF)",7,4846894.75
QP Factor Int'l ADR VMQ,1,4844316.83
MA 5 Year Treasury Ladder (ETF),13,4682156.59
"Income 40 (ETF, All Weather)",8,4675205.12
Blended - 00131,1,4671044.72
"Multifactor 60 (ETF, exCore, QUSLGVMQ, B5YCRP)",1,4562049.55
"Multifactor 50 (ETF, exCore, QUSLGVMQ, 5YCRPETF)",4,4521516.99
"Multifactor 90 (ETF, Ex China)",11,4503812.24
"Market 80 (ETF, Ex China)",7,4442626.78
"Multifactor 100 (ETF, US Only)",26,4432206.32
"Market 80 (ETF, MUSLGMKTLM)",4,4403714.6
Blended - 00027,1,4381491.03
"Income 50 (ETF, All Weather)",10,4381347.6899999995
"Multifactor 80 (ETF, 5YCRPETF)",6,4292747.92
BlackRock Corporate 1-5 Year,8,4288044.41
MA 5 Year US HY Corporate Ladder (ETF),27,4268054.7299999995
"Income 40 (ETF, QUSLGDIV)",2,4228002.3
"Market 80 (ETF, Low Min)",268,4159753.81
Blended - 00189,1,4148905.45
"Multifactor 90 TM (ETF, CA Muni)",3,4087805.21
"Multifactor 80 TM (ETF, exCore)",4,4073571.93
"Market 60 (ETF, MUSLGMKTLM, 5YCRPETF)",3,4016796.5999999996
Nuveen Municipal 1-15 Year,3,3927691.9499999997
"Market 60 TM (ETF, QUSALMKT)",1,3912635.53
"Multifactor 60 (ETF, 5YTRYETF)",8,3874801.86
"Market 50 (ETF, MUSLGMKTLM, 5YCRPETF)",2,3832078.91
"Income 30 (ETF, All Weather)",9,3803827.15
"Multifactor 60 (ETF, QUSALVMQ, 5YCRPETF)",2,3801125.99
Market 80 (ERISA),8,3776703.04
Blended - 00126,2,3727417.45
"Multifactor 80 (ETF, US Only, QUSLGVMQ)",5,3716535.94
"Income 90 (ETF, QUSLGDIV)",3,3711194.66
"Multifactor 50 TM (ETF, QUSLGVMQ, CA Muni)",2,3694614.94
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",2,3674674.1899999995
"Multifactor 40 TM (ETF, CA Muni)",3,3621666.63
Blended - 00321,1,3608576.77
"Multifactor 100 (ETF, All Weather PC Only)",3,3551182.05
"Multifactor 90 TM (ETF, QUSLGVMQ, 5YMUNETF)",3,3526624.12
MA Multifactor US Large (ETF),27,3476234.34
"Multifactor 70 (ETF, B5YCRP)",3,3470951.74
Market 10 TM (ETF),1,3437194.1
"Multifactor 90 (ETF, exCore, QUSLGVMQ, 5YCRPETF)",4,3424933.08
MA 5 Year Municipal Ladder (ETF),6,3327682.42
"Multifactor 90 (ETF, QUSLGVMQ, 5YCRPETF)",3,3317720.55
Blended - 00098,1,3301039.98
"Multifactor 40 (ETF, QUSALVMQ, B5YCRP)",1,3300557.7
"Multifactor 90 TM (ETF, US Only)",3,3284236.75
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",2,3266649.29
Blended - 00096,1,3243719.3
Blended - 00030,3,3223368.48
"Multifactor 70 (ETF, US Only, QUSLGVMQ)",5,3190374.6
"Income 70 (ETF, All Weather)",6,3174478.57
"Multifactor 20 (ETF, Ex China)",11,3106772.15
Blended - 00099,1,3087779.09
"Multifactor 80 (ETF, US Only)",13,3048018.39
"Income 20 TM (ETF, QUSLGDIV)",1,3043457.29
"Income 80 (ETF, All Weather)",5,3015441.65
